FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S188,105,83.1,16.2,7.7,91.4,94.3107221006565,27.15,7.19,3.336,23.5
S189,117,91.7,17.79,10.1,136.3,95.8180484225972,24.06,7.506,3.041,21.25
S190,112,88,16.85,10.4,158,75.253164556962,22.38,8.146,2.778,22.25
S191,120,101.6,19.4111111111111,7.1,165.5,98.0060422960725,27.8,8.734,2.857,21.25
S192,111,93.5,16.36,7.7,106.8,96.3483146067416,24.29,7.246,3.329,25.5
S193,104,96.8,18.25,11.3,141.1,95.1807228915663,26.17,8.864,2.663,29.75
S194,124,102.5,23.45,13.7,173.5,89.5100864553314,24.03,7.784,3.012,24.25
S195,115,96.7,17.69,7.6,62.5,88.8,20.75,7.32,3.136,20
S196,117,101.9,19.22,7.1,126.5,91.3833992094862,21.96,7.921,3.019,24.5
S197,110,93.8,15.17,10.1,99.4,94.6680080482897,24.44,7.112,3.339,25.75
S198,114,91.8,17.32,9.7,163.9,98.535692495424,25.48,7.535,3.332,28.5
S199,115,88.3,17.11,9.8,178.6,97.3684210526316,25.88,7.543,3.31,29
S200,125,93,18.58,7.7,149.6,94.5855614973262,23.03,7.74,2.811,26
S201,106,97.1,17.81,7.4,155.5,92.540192926045,26.52,8.146,2.98,26
S202,106,93.8,18.17,5.6,158.2,97.9140328697851,26.91,8.132,3.045,24
S203,112,110.6,24.1,7.2,150.7,93.8951559389516,30.69,9.661,3.009,27.25
S204,105,92.7,18.03,6.8,125,97.76,26.96,8.15,2.973,23
S205,116,92.5,19.5,10.7,159.4,89.0840652446675,27.42,7.722,3.049,28.25
S206,122,99.9,19.2,7.7,138.3,96.3846710050615,26.28,7.459,3.356,19.75
S207,114,94.8,17.8,9.7,188.1,95.0558213716108,24.38,7.541,3.055,26.5
S208,111,95.5,16.75,6.8,158.9,88.0427942101951,25.91,8.513,2.88,22.25
S209,123,99.8,20.09,6.8,145.4,85.5570839064649,26.56,8.282,2.895,23.75
S210,121,94.9,20.6,11.1,276.5,79.3490054249548,30.78,9.605,3.039,18.75
S211,119,116.2,24.11,,206.3,90.9355307804169,24.96,8.545,2.97,17.75
S212,124,104.5,22.58,7.6,161.1,94.6617008069522,24.5,8.716,3.065,18
S213,129,,,,,,,,,
S214,114,81.5,18.38,8.9,189.4,93.2946145723337,25.47,8.329,3.059,25.75
S215,119,98.2,21.93,8.9,199.7,89.3840761141713,30.47,8.631,3.452,21
S216,98,89.5,16.81,9,134.4,87.3511904761905,25.86,8.641,2.825,24.75
S217,96,77.7,15.23,15.5,106.6,79.2682926829268,24.87,7.885,2.986,20
S218,122,94.2,21.12,8.4,135,87.7037037037037,26.11,8.711,3.073,24.75
S219,123,96.5,22.98,8.9,132.1,90.6131718395155,30.42,9.856,2.877,16.75
S220,122,92.1,19.24,8,222.7,78.6708576560395,24.29,8.243,2.867,34
S221,122,87.5,17.95,7.1,127.3,93.3228593872742,25.07,7.85,2.944,27.75
S222,119,92.3,20.27,6.9,146.8,90.9400544959128,24.85,8.333,2.856,30.75
S223,116,122.1,20.24,7.7,155.6,87.4035989717224,23.88,8.863,2.931,26.75
S224,111,99.4,18.06,8.6,154.8,81.1369509043928,27.7,8.307,2.868,20.25
S225,111,97.4,17.88,7.2,138.3,91.3232104121475,25.93,8.135,2.9,23.5
S226,117,101.5,20.66,6.5,140.6,94.0967283072546,20.88,8.251,2.873,21
S227,117,99.7,22.19,7.9,143.2,88.268156424581,23.18,8.909,2.794,22.75
S228,99,93.9,17.65,10.4,123.7,82.2150363783347,25.32,8.151,2.85,25
S229,109,126,27,7.3,157.9,81.443951868271,24.15,8.692,2.767,27.75
S230,121,105.1,22.78,9.3,157.2,69.3384223918575,24.74,8.566,2.814,22.5
S231,119,114.5,27.98,6.4,143.8,77.9554937413074,24.1,8.465,2.724,25.5
S232,120,114.7,28.16,5.3,235.3,90.0552486187845,25.51,8.547,2.645,25
S233,120,111.7,27.9555555555556,6.1,162.2,80.2712700369914,25.79,8.822,2.737,27.5
S234,116,113.4,19.75,8.1,181.2,85.5408388520971,19.18,8.687,2.752,25.25
S235,109,111.6,21,11.7,168.9,70.9887507400829,24.46,7.212,3.333,17.5
S236,,134.1,23.47,12.7,100.7,96.8222442899702,21.08,6.996,3.163,21.25
S237,110,121.9,24.53,12.5,153.6,91.0807291666667,24.04,7.167,3.209,21
